id_usuario;nombre;mail;password;username;id_videojuego;fecha v;cantidad;veredicto;titulo;texto;fecha_nacimiento
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;15;13-05-2021;0.75;;;;01-05-2009
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;16;10-06-2020;1.5;;;;28-01-2012
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;37;04-02-2021;4.25;;;;22-09-1979
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;43;28-06-2021;52;;;;06-04-1957
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;71;20-01-2021;1.75;;;;05-10-1951
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;73;05-11-2020;0.75;;;;28-02-1964
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;124;03-11-2021;4;;;;10-03-1962
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;126;15-05-2021;308;negativo;Muy Malo;Este juego viene directamente de Mordor;07-02-1971
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;126;29-05-2021;10.5;;;;08-04-1954
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;128;04-10-2020;3.75;;;;03-06-1959
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;132;23-01-2021;24;;;;01-06-1951
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;247;27-09-2021;3.25;;;;25-11-2006
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;327;18-03-2020;4;;;;25-12-1968
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;343;16-05-2021;2.25;;;;24-09-1968
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;358;02-07-2021;0.25;;;;19-09-1970
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;427;07-08-2021;4.25;;;;16-03-1955
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;472;27-05-2020;24;;;;09-07-1981
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;501;16-01-2021;60;;;;26-08-2011
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;533;15-04-2020;48;;;;31-05-1963
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;537;05-07-2021;1.75;;;;27-02-1949
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;538;10-02-2021;5;;;;21-11-1943
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;545;04-01-2021;0.75;;;;28-03-1961
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;622;18-03-2020;52;;;;23-01-2008
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;673;30-10-2021;16;;;;10-08-1959
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;730;14-04-2021;48;;;;26-09-2002
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;1011;16-01-2021;5;;;;01-10-1996
9;Jeffrey Aguirre;jaguirre@yahoo.it;dL1lawrd;jaguirre1971;1262;22-12-2021;0.75;;;;13-10-2015
